filename,verdict,ground_truth,failure_mode,reason,latency_ms,border_content_ratio,contrast,fft_asymmetry,fft_hf_ratio,glare_ratio,laplacian_p95,laplacian_var,mean_brightness,tenengrad,wavelet_hh_energy
IMG-20260526-WA0185.jpg,usable,usable,none,image is acceptable,23.45,0.3162,43.74,0.0,0.01,0.0,8004.27,3201.71,157.56,103.11,96.05
IMG-20260526-WA0188.jpg,usable,borderline,defocus,image is acceptable,26.03,0.2513,42.81,0.0673,0.005133,0.0,1107.02,505.06,156.35,42.97,16.39
IMG-20260526-WA0189.jpg,borderline,borderline,defocus,image may be slightly blurry,21.93,0.2346,51.66,0.1589,0.002912,0.0,329.3,170.46,178.48,32.58,5.17
IMG-20260526-WA0190.jpg,usable,borderline,defocus,image is acceptable,24.67,0.3023,46.37,0.0922,0.004924,0.0,1093.12,555.15,174.49,47.54,17.76
IMG-20260526-WA0191.jpg,usable,borderline,defocus,image is acceptable,25.02,0.2853,47.65,0.7048,0.004585,0.0,1357.48,622.09,171.93,50.97,21.51
IMG-20260526-WA0192.jpg,usable,borderline,defocus,image is acceptable,26.65,0.3262,42.98,0.2308,0.006111,0.0,1203.04,762.77,166.8,55.23,26.78
IMG-20260526-WA0193.jpg,usable,usable,none,image is acceptable,26.84,0.2386,44.12,1.3387,0.005167,0.0,1767.9,1021.87,177.7,48.71,34.32
IMG-20260526-WA0196.jpg,usable,usable,none,image is acceptable,14.81,0.2196,41.12,0.0,0.01,0.0077,4559.52,1823.81,194.8,57.77,54.71
IMG-20260526-WA0197.jpg,usable,usable,none,image is acceptable,24.32,0.2053,30.38,0.278,0.002694,0.0242,1764.47,1098.35,219.72,37.41,38.89
IMG-20260526-WA0198.jpg,usable,borderline,motion_blur,image is acceptable,22.48,0.1759,74.41,0.3254,0.004475,0.1257,1543.99,762.42,179.38,48.12,24.11
IMG-20260526-WA0199.jpg,usable,usable,none,image is acceptable,9.69,0.1127,24.48,0.0,0.01,0.0,4995.65,1998.26,168.53,82.82,59.95
IMG-20260526-WA0200.jpg,usable,usable,none,image is acceptable,20.97,0.2598,26.18,0.0,0.01,0.0,4234.15,1693.66,170.58,70.0,50.81
IMG-20260526-WA0212.jpg,usable,borderline,motion_blur,image is acceptable,127.03,0.1613,24.06,0.0,0.01,0.0,5620.7,2248.28,180.09,61.85,67.45
IMG-20260526-WA0214.jpg,usable,usable,none,image is acceptable,123.54,0.1358,27.98,0.0,0.01,0.0,12771.25,5108.5,180.35,81.18,153.25
IMG-20260526-WA0215.jpg,usable,retake,motion_blur,image is acceptable,177.54,0.1624,31.23,0.8073,0.004064,0.0,1791.59,1000.21,154.14,49.62,46.08
IMG-20260526-WA0216.jpg,borderline,borderline,defocus,dim lighting,125.89,0.0759,28.23,0.9854,0.012309,0.0,1002.45,334.99,44.8,27.54,11.59
IMG-20260526-WA0217.jpg,usable,usable,none,image is acceptable,125.28,0.1231,38.12,0.0,0.01,0.0,5420.68,2168.27,150.24,57.17,65.05
IMG-20260526-WA0218.jpg,retake,retake,glare,significant glare or overexposure,124.52,0.1557,24.03,1.7932,0.001646,0.7477,3149.78,1334.7,238.9,34.74,52.29
IMG-20260526-WA0219.jpg,retake,retake,insufficient_lighting,image is blurry (out of focus or motion blur); insufficient lighting,101.79,0.0,1.31,1.0094,0.015676,0.0,3.08,2.53,4.1,2.76,0.11
IMG-20260526-WA0220.jpg,retake,retake,insufficient_lighting,image is blurry (out of focus or motion blur); insufficient lighting,98.08,0.0,1.01,0.5062,0.012249,0.0,2.87,1.89,3.71,2.15,0.08
IMG-20260526-WA0221.jpg,retake,retake,glare,significant glare or overexposure,116.16,0.1535,28.67,1.2798,0.000898,0.8328,1558.36,516.2,239.52,21.13,23.09
IMG-20260526-WA0222.jpg,borderline,retake,glare,some glare detected,128.31,0.2064,34.09,0.1105,0.002486,0.4915,4504.32,1442.27,223.55,47.36,62.86
IMG-20260526-WA0223.jpg,borderline,retake,motion_blur,image may be slightly blurry,158.05,0.1364,22.85,1.8601,0.003442,0.0,1062.54,594.31,153.12,42.52,23.31
IMG-20260526-WA0224.jpg,usable,borderline,motion_blur,image is acceptable,122.37,0.1398,23.82,0.0209,0.01303,0.0,2421.56,1280.17,92.72,46.28,53.01
IMG-20260526-WA0225.jpg,retake,retake,insufficient_lighting,image is blurry (out of focus or motion blur); insufficient lighting,25.04,0.0,1.38,1.3546,0.009208,0.0,1.33,1.04,4.78,1.95,0.04
IMG-20260526-WA0226.jpg,usable,borderline,motion_blur,image is acceptable,115.39,0.1229,26.66,0.0,0.01,0.0,3767.33,1506.93,109.95,57.7,45.21
IMG-20260526-WA0243.jpg,usable,retake,motion_blur,image is acceptable,134.77,0.201,38.68,0.4193,0.00539,0.0,861.96,390.09,142.02,40.58,14.31
IMG-20260526-WA0245.jpg,usable,usable,none,image is acceptable,132.12,0.2651,39.16,0.1597,0.006922,0.0,2212.49,1442.77,151.01,54.83,51.72
IMG-20260526-WA0246.jpg,borderline,usable,none,image may be slightly blurry,99.2,0.1151,22.58,0.4932,0.002579,0.0,901.74,620.34,164.36,39.13,11.26
IMG-20260526-WA0248.jpg,borderline,usable,none,image may be slightly blurry,123.45,0.115,22.59,0.4954,0.002584,0.0,909.78,628.42,164.37,39.1,11.67
